#,Match_ID,Team,Is_Winner,Duration,Nickname,Hero_Name,K,D,A,Account_ID
1,8767848614,Radiant,No,41 мин,Atzik,Jakiro,1,14,15,44019880
1,8767848614,Radiant,No,41 мин,Жора Пасатижи,Beastmaster,13,6,11,132943958
1,8767848614,Radiant,No,41 мин,teo,Phantom Assassin,10,11,8,110621494
1,8767848614,Radiant,No,41 мин,Sphinx,Tiny,5,7,16,199157120
1,8767848614,Radiant,No,41 мин,StrongLeg,Clinkz,5,11,10,34226035
1,8767848614,Dire,Yes,41 мин,Сквозной,Omniknight,17,2,15,431403751
1,8767848614,Dire,Yes,41 мин,inst: parvizname,Monkey King,6,8,15,115702863
1,8767848614,Dire,Yes,41 мин,Argos,Bristleback,10,8,27,103024977
1,8767848614,Dire,Yes,41 мин,Булка с маком,Witch Doctor,8,8,19,48804856
1,8767848614,Dire,Yes,41 мин,Хоссср,Grimstroke,8,8,23,35394283
2,8767773235,Radiant,No,62 мин,Sphinx,Void Spirit,5,15,25,199157120
2,8767773235,Radiant,No,62 мин,Жора Пасатижи,Slardar,13,9,25,132943958
2,8767773235,Radiant,No,62 мин,teo,Weaver,28,9,19,110621494
2,8767773235,Radiant,No,62 мин,Atzik,Hoodwink,9,15,41,44019880
2,8767773235,Radiant,No,62 мин,StrongLeg,Skywrath Mage,16,6,29,34226035
2,8767773235,Dire,Yes,62 мин,Хоссср,Techies,10,16,24,35394283
2,8767773235,Dire,Yes,62 мин,Булка с маком,Jakiro,5,20,17,48804856
2,8767773235,Dire,Yes,62 мин,Сквозной,Medusa,16,6,11,431403751
2,8767773235,Dire,Yes,62 мин,inst: parvizname,Broodmother,9,15,23,115702863
2,8767773235,Dire,Yes,62 мин,Argos,Phoenix,14,15,34,103024977
3,8767711935,Radiant,Yes,39 мин,Хоссср,Mirana,5,10,28,35394283
3,8767711935,Radiant,Yes,39 мин,Сквозной,Anti-Mage,11,4,14,431403751
3,8767711935,Radiant,Yes,39 мин,ormotsadze95,Crystal Maiden,0,9,17,1869670988
3,8767711935,Radiant,Yes,39 мин,Argos,Beastmaster,18,8,16,103024977
3,8767711935,Radiant,Yes,39 мин,inst: parvizname,Invoker,20,5,20,115702863
3,8767711935,Dire,No,39 мин,Жора Пасатижи,Ursa,7,10,13,132943958
3,8767711935,Dire,No,39 мин,Sphinx,Disruptor,1,13,21,199157120
3,8767711935,Dire,No,39 мин,teo,Storm Spirit,15,5,10,110621494
3,8767711935,Dire,No,39 мин,Atzik,Snapfire,6,17,8,44019880
3,8767711935,Dire,No,39 мин,StrongLeg,Spectre,7,10,18,34226035
4,8767657984,Radiant,No,30 мин,Хоссср,Tiny,2,8,7,35394283
4,8767657984,Radiant,No,30 мин,Argos,Beastmaster,5,9,5,103024977
4,8767657984,Radiant,No,30 мин,Сквозной,Nature's Prophet,5,6,3,431403751
4,8767657984,Radiant,No,30 мин,ormotsadze95,Crystal Maiden,0,9,2,1869670988
4,8767657984,Radiant,No,30 мин,inst: parvizname,Arc Warden,4,6,4,115702863
4,8767657984,Dire,Yes,30 мин,Atzik,Jakiro,0,6,17,44019880
4,8767657984,Dire,Yes,30 мин,StrongLeg,Leshrac,10,2,12,34226035
4,8767657984,Dire,Yes,30 мин,Жора Пасатижи,Alchemist,5,2,27,132943958
4,8767657984,Dire,Yes,30 мин,teo,Juggernaut,16,3,6,110621494
4,8767657984,Dire,Yes,30 мин,Sphinx,Gyrocopter,6,3,12,199157120
5,8762287575,Radiant,Yes,42 мин,Булка с маком,Luna,13,14,19,48804856
5,8762287575,Radiant,Yes,42 мин,Argos,Spirit Breaker,6,14,36,103024977
5,8762287575,Radiant,Yes,42 мин,Сквозной,Lina,26,9,16,431403751
5,8762287575,Radiant,Yes,42 мин,Atzik,Keeper of the Light,6,11,30,44019880
5,8762287575,Radiant,Yes,42 мин,Sphinx,Primal Beast,10,7,18,199157120
5,8762287575,Dire,No,42 мин,Жора Пасатижи,Beastmaster,22,10,18,132943958
5,8762287575,Dire,No,42 мин,Y O S E N,Bane,10,5,32,104608913
5,8762287575,Dire,No,42 мин,3 goda na solyah,Arc Warden,6,18,19,1527517657
5,8762287575,Dire,No,42 мин,Хоссср,Techies,5,17,28,35394283
5,8762287575,Dire,No,42 мин,StrongLeg,Marci,12,11,15,34226035
6,8762225933,Radiant,Yes,46 мин,Y O S E N,Shadow Shaman,6,12,23,104608913
6,8762225933,Radiant,Yes,46 мин,Жора Пасатижи,Tidehunter,16,7,23,132943958
6,8762225933,Radiant,Yes,46 мин,Хоссср,Wraith King,12,7,17,35394283
6,8762225933,Radiant,Yes,46 мин,3 goda na solyah,Pangolier,12,12,12,1527517657
6,8762225933,Radiant,Yes,46 мин,StrongLeg,Undying,9,8,23,34226035
6,8762225933,Dire,No,46 мин,Atzik,Keeper of the Light,4,15,23,44019880
6,8762225933,Dire,No,46 мин,Argos,Nyx Assassin,2,12,24,103024977
6,8762225933,Dire,No,46 мин,Сквозной,Juggernaut,7,7,12,431403751
6,8762225933,Dire,No,46 мин,Sphinx,Queen of Pain,18,9,14,199157120
6,8762225933,Dire,No,46 мин,Булка с маком,Dawnbreaker,14,13,21,48804856
7,8756501545,Radiant,No,41 мин,Сквозной,Windranger,8,7,7,431403751
7,8756501545,Radiant,No,41 мин,Булка с маком,Nyx Assassin,7,15,9,48804856
7,8756501545,Radiant,No,41 мин,teo,Bristleback,0,14,5,110621494
7,8756501545,Radiant,No,41 мин,Atzik,Disruptor,1,18,17,44019880
7,8756501545,Radiant,No,41 мин,gin,Death Prophet,10,8,10,1168515991
7,8756501545,Dire,Yes,41 мин,Хоссср,Mirana,7,6,35,35394283
7,8756501545,Dire,Yes,41 мин,inst: parvizname,Phoenix,11,5,16,115702863
7,8756501545,Dire,Yes,41 мин,SherAGRESSORR.twitch,Juggernaut,8,5,11,177122169
7,8756501545,Dire,Yes,41 мин,pxkxmxlxdxy,Leshrac,18,6,15,286900954
7,8756501545,Dire,Yes,41 мин,StrongLeg,Chaos Knight,17,4,13,34226035
8,8756387355,Radiant,Yes,65 мин,Сквозной,Slark,20,7,23,431403751
8,8756387355,Radiant,Yes,65 мин,Булка с маком,Kunkka,2,11,26,48804856
8,8756387355,Radiant,Yes,65 мин,Atzik,Jakiro,7,17,27,44019880
8,8756387355,Radiant,Yes,65 мин,teo,Lion,12,18,18,110621494
8,8756387355,Radiant,Yes,65 мин,gin,Void Spirit,20,5,15,1168515991
8,8756387355,Dire,No,65 мин,Хоссср,Tidehunter,6,11,27,35394283
8,8756387355,Dire,No,65 мин,Snake-Jazzman,Lich,6,16,20,37615683
8,8756387355,Dire,No,65 мин,inst: parvizname,Disruptor,4,17,37,115702863
8,8756387355,Dire,No,65 мин,SherAGRESSORR.twitch,Invoker,5,11,22,177122169
8,8756387355,Dire,No,65 мин,StrongLeg,Spectre,34,10,17,34226035
9,8755021393,Radiant,No,36 мин,Atzik,Shadow Shaman,3,18,20,44019880
9,8755021393,Radiant,No,36 мин,Сквозной,Bristleback,12,10,9,431403751
9,8755021393,Radiant,No,36 мин,Snake-Jazzman,Lich,0,17,12,37615683
9,8755021393,Radiant,No,36 мин,GOD OF DOTA,Medusa,9,9,6,141842258
9,8755021393,Radiant,No,36 мин,StrongLeg,Razor,5,13,12,34226035
9,8755021393,Dire,Yes,36 мин,Жора Пасатижи,Night Stalker,17,2,20,132943958
9,8755021393,Dire,Yes,36 мин,Булка с маком,Crystal Maiden,10,9,16,48804856
9,8755021393,Dire,Yes,36 мин,неотложка,Witch Doctor,9,9,33,370550131
9,8755021393,Dire,Yes,36 мин,_TwoGirls_,Weaver,25,2,17,371248693
9,8755021393,Dire,Yes,36 мин,ИМПАКТ ИЗ ТАВЕРНЫ,Grimstroke,4,9,32,94204864
10,8740087362,Radiant,No,45 мин,Сквозной,Troll Warlord,12,12,12,431403751
10,8740087362,Radiant,No,45 мин,Хоссср,Disruptor,8,10,22,35394283
10,8740087362,Radiant,No,45 мин,Булка с маком,Dawnbreaker,11,15,18,48804856
10,8740087362,Radiant,No,45 мин,inst: parvizname,Invoker,4,13,16,115702863
10,8740087362,Radiant,No,45 мин,StrongLeg,Vengeful Spirit,3,11,26,34226035
10,8740087362,Dire,Yes,45 мин,teo,Lion,7,7,32,110621494
10,8740087362,Dire,Yes,45 мин,Argos,Mars,6,9,21,103024977
10,8740087362,Dire,Yes,45 мин,Atzik,Witch Doctor,4,14,32,44019880
10,8740087362,Dire,Yes,45 мин,_TwoGirls_,Skywrath Mage,27,5,15,371248693
10,8740087362,Dire,Yes,45 мин,люблю худых,Anti-Mage,16,5,19,212155110
11,8740042121,Radiant,Yes,37 мин,Сквозной,Drow Ranger,19,5,14,431403751
11,8740042121,Radiant,Yes,37 мин,Булка с маком,Kunkka,3,12,26,48804856
11,8740042121,Radiant,Yes,37 мин,Хоссср,Witch Doctor,10,12,24,35394283
11,8740042121,Radiant,Yes,37 мин,inst: parvizname,Pudge,16,5,18,115702863
11,8740042121,Radiant,Yes,37 мин,StrongLeg,Gyrocopter,11,6,17,34226035
11,8740042121,Dire,No,37 мин,teo,Sniper,10,10,19,110621494
11,8740042121,Dire,No,37 мин,Atzik,Jakiro,2,21,29,44019880
11,8740042121,Dire,No,37 мин,_TwoGirls_,Skywrath Mage,20,9,10,371248693
11,8740042121,Dire,No,37 мин,люблю худых,Pangolier,2,11,13,212155110
11,8740042121,Dire,No,37 мин,Snake-Jazzman,Lich,5,8,16,37615683
12,8737114059,Radiant,No,55 мин,Сквозной,Magnus,4,16,26,431403751
12,8737114059,Radiant,No,55 мин,Хоссср,Riki,35,14,23,35394283
12,8737114059,Radiant,No,55 мин,Atzik,Shadow Shaman,5,21,36,44019880
12,8737114059,Radiant,No,55 мин,teo,Sniper,12,12,33,110621494
12,8737114059,Radiant,No,55 мин,Y O S E N,Invoker,21,11,25,104608913
12,8737114059,Dire,Yes,55 мин,Булка с маком,Pugna,4,22,30,48804856
12,8737114059,Dire,Yes,55 мин,Snake-Jazzman,Lich,0,19,19,37615683
12,8737114059,Dire,Yes,55 мин,взаимные лайки от,Dazzle,20,11,22,124379140
12,8737114059,Dire,Yes,55 мин,3 goda na solyah,Pudge,45,13,14,1527517657
12,8737114059,Dire,Yes,55 мин,StrongLeg,Faceless Void,4,15,28,34226035
13,8737044109,Radiant,Yes,43 мин,Сквозной,Medusa,12,5,20,431403751
13,8737044109,Radiant,Yes,43 мин,Хоссср,Lion,6,14,21,35394283
13,8737044109,Radiant,Yes,43 мин,Y O S E N,Void Spirit,14,4,21,104608913
13,8737044109,Radiant,Yes,43 мин,teo,Tidehunter,4,7,27,110621494
13,8737044109,Radiant,Yes,43 мин,Atzik,Witch Doctor,13,9,21,44019880
13,8737044109,Dire,No,43 мин,взаимные лайки от,Invoker,11,10,16,124379140
